gid,___case,simpledate,year,month,time,hour,minute,datetime,injured,county,created_at,updated_at,cartodb_id,hex_id,geom
8278,3608970,20080110,2008,1,4:12 p.m.,16,12,01/10/2008 4:12 p.m.,0,Santa Clara,2013-09-25,2013-09-28,8278,h0.586054502535066,0101000020E6100000568330B77B815EC0B1CEE79260A84240
8279,3609010,20080118,2008,1,12:20 p.m.,12,20,01/18/2008 12:20 p.m.,1,Marin,2013-09-25,2013-09-28,8279,h0.131253530596999,0101000020E6100000D9B27C5D069E5EC0D0D8F225AFF24240
8280,3610366,20080105,2008,1,10:15 a.m.,10,15,01/05/2008 10:15 a.m.,1,San Mateo,2013-09-25,2013-09-28,8280,h0.317278004622005,0101000020E6100000F9EDEBC0B99B5EC0B2E611ED74BA4240
8281,3610382,20080111,2008,1,7:19 a.m.,7,19,01/11/2008 7:19 a.m.,1,San Mateo,2013-09-25,2013-09-28,8281,h0.303030757034399,0101000020E6100000629115B2A99B5EC0D4049B841CBC4240
8282,3610467,20080209,2008,2,2:00 p.m.,14,0,02/09/2008 2:00 p.m.,0,Santa Clara,2013-09-25,2013-09-28,8282,h0.566327869399177,0101000020E6100000EEF77AAD3A835EC0A3CC069964A84240
8283,3610658,20080228,2008,2,2:51 p.m.,14,51,02/28/2008 2:51 p.m.,1,Alameda,2013-09-25,2013-09-28,8283,h0.526191716514218,0101000020E6100000AB025A5FC97B5EC0CB214ECC1FC54240
8284,3610662,20080220,2008,2,6:02 p.m.,18,2,02/20/2008 6:02 p.m.,1,Alameda,2013-09-25,2013-09-28,8284,h0.440720652405778,0101000020E6100000393CCE7EEE805EC0079964E42CC94240
8285,3610679,20080217,2008,2,3:07 p.m.,15,7,02/17/2008 3:07 p.m.,1,Alameda,2013-09-25,2013-09-28,8285,h0.204516267392217,0101000020E61000001F048992B58C5EC01399B9C0E5E24240
8286,3610737,20080228,2008,2,2:30 p.m.,14,30,02/28/2008 2:30 p.m.,1,Alameda,2013-09-25,2013-09-28,8286,h0.130564672069794,0101000020E61000002A25BA1D50915EC00E7B46C77AE64240
8287,3611652,20080203,2008,2,4:35 p.m.,16,35,02/03/2008 4:35 p.m.,1,Sonoma,2013-09-25,2013-09-28,8287,h0.723844148306574,0101000020E61000004C49206F03AB5EC076A73B4F3C3A4340
8288,3611655,20080210,2008,2,3:15 p.m.,15,15,02/10/2008 3:15 p.m.,1,San Mateo,2013-09-25,2013-09-28,8288,h0.239457556989315,0101000020E61000005BBC0E8B87935EC0ED7A0ED18DC64240
8289,3611696,20080202,2008,2,5:54 p.m.,17,54,02/02/2008 5:54 p.m.,0,Sonoma,2013-09-25,2013-09-28,8289,h0.72280995811081,0101000020E6100000749D465A2AAD5EC019F90670C4374340
8290,3611709,20080208,2008,2,10:02 p.m.,22,2,02/08/2008 10:02 p.m.,1,San Mateo,2013-09-25,2013-09-28,8290,h0.213594266208709,0101000020E6100000BCD5CE8BEE935EC01D5D00755EC94240
8291,3611869,20080115,2008,1,2:38 p.m.,14,38,01/15/2008 2:38 p.m.,1,Sonoma,2013-09-25,2013-09-28,8291,h0.72280995811081,0101000020E6100000D688056369AD5EC0BB3665B84B394340
8292,3611948,20080213,2008,2,4:42 p.m.,16,42,02/13/2008 4:42 p.m.,1,Contra Costa,2013-09-25,2013-09-28,8292,h0.358174096966117,0101000020E610000001158E2015855EC0F8AF07EE9BF94240
8293,3611986,20080110,2008,1,1:25 p.m.,13,25,01/10/2008 1:25 p.m.,1,San Francisco,2013-09-25,2013-09-28,8293,h0.0174042920678374,0101000020E6100000D7EABCD75A9A5EC02C9496DB07E74240
8294,3612676,20080119,2008,1,12:18 p.m.,12,18,01/19/2008 12:18 p.m.,2,Alameda,2013-09-25,2013-09-28,8294,h0.359918325573439,0101000020E610000031F66FA829845EC09AF8591B19D14240
8295,3612816,20080229,2008,2,10:45 a.m.,10,45,02/29/2008 10:45 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8295,h0.680742981194835,0101000020E61000000F176F1A91785EC054A7A89FDCA94240
8296,3612820,20080229,2008,2,7:30 a.m.,7,30,02/29/2008 7:30 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8296,h0.755998417817397,0101000020E6100000B1D7BB3FDE745EC01F6ADB300AA54240
8297,3612851,20080226,2008,2,3:21 p.m.,15,21,02/26/2008 3:21 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8297,h0.664255136413358,0101000020E610000004F86EF346795EC0731D99FD70AB4240
8298,3613151,20080227,2008,2,3:59 p.m.,15,59,02/27/2008 3:59 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8298,h0.76766185747803,0101000020E6100000F71CA21B2B755EC0B04B9EFC27A04240
8299,3613187,20080225,2008,2,1:53 p.m.,13,53,02/25/2008 1:53 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8299,h0.721475523677727,0101000020E61000001EA9BEF30B755EC04ED1915CFEA84240
8300,3613238,20080109,2008,1,10:00 a.m.,10,0,01/09/2008 10:00 a.m.,1,San Mateo,2013-09-25,2013-09-28,8300,h0.254123425068924,0101000020E6100000FEBC5FBBEA905EC0B446F3B688C64240
8301,3613779,20080223,2008,2,11:17 a.m.,11,17,02/23/2008 11:17 a.m.,0,Alameda,2013-09-25,2013-09-28,8301,h0.13470582797941,0101000020E6100000E199D024B1915EC03229F4B006E94240
8302,3613896,20080117,2008,1,6:00 p.m.,18,0,01/17/2008 6:00 p.m.,1,San Francisco,2013-09-25,2013-09-28,8302,h0.0577513985114002,0101000020E6100000068BD4C5B79E5EC011233ABA00E14240
8303,3613935,20080125,2008,1,10:43 a.m.,10,43,01/25/2008 10:43 a.m.,1,San Francisco,2013-09-25,2013-09-28,8303,h0.0878453384987619,0101000020E6100000070ABC934FA05EC009C3802557E14240
8304,3615206,20080210,2008,2,11:30 a.m.,11,30,02/10/2008 11:30 a.m.,1,San Mateo,2013-09-25,2013-09-28,8304,h0.331342712315926,0101000020E6100000ED5E93DAB0995EC00F142E9A84B74240
8305,3615230,20080216,2008,2,10:00 a.m.,10,0,02/16/2008 10:00 a.m.,1,San Mateo,2013-09-25,2013-09-28,8305,h0.395282389175098,0101000020E6100000580229B16B8E5EC09A5A11908AB54240
8306,3615493,20080303,2008,3,3:04 p.m.,15,4,03/03/2008 3:04 p.m.,1,Marin,2013-09-25,2013-09-28,8306,h0.185269855439162,0101000020E610000095E0C3DB39A35EC06925636B6CF44240
8307,3616525,20080215,2008,2,2:13 p.m.,14,13,02/15/2008 2:13 p.m.,1,Contra Costa,2013-09-25,2013-09-28,8307,h0.724325140860654,0101000020E6100000AF9811DE9E6D5EC02522FC8BA0FF4240
8308,3617452,20080128,2008,1,7:20 p.m.,19,20,01/28/2008 7:20 p.m.,0,Santa Clara,2013-09-25,2013-09-28,8308,h0.704323005999962,0101000020E6100000249A9BCAFD745EC06B227DA4D2AE4240
8309,3619094,20080303,2008,3,10:19 a.m.,10,19,03/03/2008 10:19 a.m.,1,Contra Costa,2013-09-25,2013-09-28,8309,h0.409323567701027,0101000020E61000002ABCBA19A4825EC0B77BB94F8EFC4240
8310,3619288,20080127,2008,1,4:00 p.m.,16,0,01/27/2008 4:00 p.m.,0,Alameda,2013-09-25,2013-09-28,8310,h0.337381390096268,0101000020E6100000727ED4705B845EC06BA97290C6D84240
8311,3619464,20080218,2008,2,7:42 a.m.,7,42,02/18/2008 7:42 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8311,h0.664731926286116,0101000020E610000092ADD3ED117C5EC0C6F2AE7AC0A44240
8312,3619603,20080109,2008,1,6:00 p.m.,18,0,01/09/2008 6:00 p.m.,1,Sonoma,2013-09-25,2013-09-28,8312,,0101000020E610000046ADD5C3BCBF5EC04CEC905154424340
8313,3619798,20080211,2008,2,3:38 p.m.,15,38,02/11/2008 3:38 p.m.,1,Alameda,2013-09-25,2013-09-28,8313,h0.631954734828707,0101000020E6100000E80995C9BA715EC0B7312C3531D74240
8314,3620717,20080215,2008,2,7:41 p.m.,19,41,02/15/2008 7:41 p.m.,1,Alameda,2013-09-25,2013-09-28,8314,h0.13470582797941,0101000020E61000002F5805C56A915EC0A6576F7951E84240
8315,3620935,20080222,2008,2,7:09 p.m.,19,9,02/22/2008 7:09 p.m.,1,Solano,2013-09-25,2013-09-28,8315,h0.595507711878882,0101000020E61000000DA5F622DA825EC02B4B19DDE61F4340
8316,3621625,20080215,2008,2,11:31 a.m.,11,31,02/15/2008 11:31 a.m.,1,Alameda,2013-09-25,2013-09-28,8316,h0.505628234322327,0101000020E61000006EFF80BDF87D5EC0D16DD3E98AC24240
8317,3621647,20080202,2008,2,6:50 a.m.,6,50,02/02/2008 6:50 a.m.,1,Contra Costa,2013-09-25,2013-09-28,8317,h0.379536906935101,0101000020E61000009F81FD7C80835EC0A45588A29BF64240
8318,4090488,20090124,2009,1,11:21 p.m.,23,21,01/24/2009 11:21 p.m.,1,San Francisco,2013-09-25,2013-09-28,8318,h0.0130789568641807,0101000020E6100000276085A54B9B5EC0B1A371A8DFE14240
8319,3622488,20080214,2008,2,11:22 p.m.,23,22,02/14/2008 11:22 p.m.,1,Alameda,2013-09-25,2013-09-28,8319,h0.221476924830192,0101000020E6100000E893CB353B8B5EC04BB43FAB27E04240
8320,3622507,20080206,2008,2,2:55 p.m.,14,55,02/06/2008 2:55 p.m.,1,Alameda,2013-09-25,2013-09-28,8320,h0.13470582797941,0101000020E6100000E199D024B1915EC03229F4B006E94240
8321,3622730,20080215,2008,2,8:33 a.m.,8,33,02/15/2008 8:33 a.m.,1,Marin,2013-09-25,2013-09-28,8321,h0.157333959879228,0101000020E61000007122556F689F5EC07F74FBF6BFF54240
8322,3624029,20080217,2008,2,5:06 p.m.,17,6,02/17/2008 5:06 p.m.,0,Alameda,2013-09-25,2013-09-28,8322,h0.142295387879762,0101000020E61000004974E0E61E905EC05C35745886E24240
8323,3624085,20080215,2008,2,8:35 a.m.,8,35,02/15/2008 8:35 a.m.,1,Alameda,2013-09-25,2013-09-28,8323,h0.419068019441509,0101000020E61000001F84807C09835EC0F29A0DE83BC44240
8324,3624660,20080305,2008,3,5:03 p.m.,17,3,03/05/2008 5:03 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8324,h0.434097641258816,0101000020E6100000C41671F03B885EC028AC9EDD6BB74240
8325,3624742,20080215,2008,2,3:49 p.m.,15,49,02/15/2008 3:49 p.m.,0,Napa,2013-09-25,2013-09-28,8325,,0101000020E6100000235EE85B309D5EC00F875BF404414340
8326,3625496,20080115,2008,1,9:13 p.m.,21,13,01/15/2008 9:13 p.m.,1,San Francisco,2013-09-25,2013-09-28,8326,h0.0394133805010673,0101000020E6100000DDD49BAC2C9D5EC0B785425FD5E34240
8327,3625521,20080124,2008,1,3:40 p.m.,15,40,01/24/2008 3:40 p.m.,1,San Francisco,2013-09-25,2013-09-28,8327,h0.0168652154359615,0101000020E6100000D28CA08C4C9B5EC0835550ACAEE54240
8328,3625533,20080107,2008,1,2:55 p.m.,14,55,01/07/2008 2:55 p.m.,1,San Francisco,2013-09-25,2013-09-28,8328,h0.0126838372207505,0101000020E6100000AC58FCA6B0995EC0FD15325706E54240
8329,3625723,20080209,2008,2,2:38 p.m.,14,38,02/09/2008 2:38 p.m.,1,San Mateo,2013-09-25,2013-09-28,8329,h0.331342712315926,0101000020E6100000ED5E93DAB0995EC00F142E9A84B74240
8330,3625770,20080218,2008,2,5:20 p.m.,17,20,02/18/2008 5:20 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8330,h0.603489691924504,0101000020E6100000139337C04C7A5EC0B03A72A433B54240
8331,3625786,20080218,2008,2,8:55 a.m.,8,55,02/18/2008 8:55 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8331,h0.595956843988437,0101000020E6100000584D7C5AEA795EC0C3D32B6519B94240
8332,3625927,20080217,2008,2,1:30 p.m.,13,30,02/17/2008 1:30 p.m.,1,Alameda,2013-09-25,2013-09-28,8332,h0.157265766535607,0101000020E6100000A01CBBFAE7905EC08E8DE5023CEB4240
8333,3625939,20080217,2008,2,11:30 a.m.,11,30,02/17/2008 11:30 a.m.,1,Alameda,2013-09-25,2013-09-28,8333,h0.140166982203242,0101000020E6100000A94A5B5C63915EC099EE1A99ECE94240
8334,3625998,20080210,2008,2,6:13 p.m.,18,13,02/10/2008 6:13 p.m.,1,Alameda,2013-09-25,2013-09-28,8334,h0.13470582797941,0101000020E6100000BCA47BE761915EC0171DDA1198E84240
8335,3626727,20080207,2008,2,6:30 p.m.,18,30,02/07/2008 6:30 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8335,h1.11573836418294,0101000020E610000034E95B8B3B655EC0F03CA70F13814240
8336,3626820,20080214,2008,2,6:05 p.m.,18,5,02/14/2008 6:05 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8336,h0.686570978883299,0101000020E6100000537765170C7B5EC09B5775560BA54240
8337,3626840,20080215,2008,2,7:42 a.m.,7,42,02/15/2008 7:42 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8337,h0.456693271887143,0101000020E610000001C2E2CB9F885EC06FC45A7C0AB34240
8338,3626861,20080221,2008,2,8:06 a.m.,8,6,02/21/2008 8:06 a.m.,2,Santa Clara,2013-09-25,2013-09-28,8338,h0.449469317957722,0101000020E610000030A93528F5875EC053F4763A46B64240
8339,3627411,20080209,2008,2,9:20 a.m.,9,20,02/09/2008 9:20 a.m.,2,Napa,2013-09-25,2013-09-28,8339,,0101000020E6100000A2B19BBEC3A35EC0EAE2DB604D4A4340
8340,3628514,20080213,2008,2,10:36 a.m.,10,36,02/13/2008 10:36 a.m.,0,Santa Clara,2013-09-25,2013-09-28,8340,h0.491344054880793,0101000020E610000041C0B56E5E855EC0B2AC45555DB14240
8341,3628545,20080228,2008,2,2:20 p.m.,14,20,02/28/2008 2:20 p.m.,0,Contra Costa,2013-09-25,2013-09-28,8341,h0.322544247506876,0101000020E6100000B870C56A98865EC01D007157AFF24240
8342,3628550,20080225,2008,2,4:00 p.m.,16,0,02/25/2008 4:00 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8342,h0.501738669021262,0101000020E6100000D1C4E006A1835EC0B2EB2818DFB34240
8343,3628730,20080304,2008,3,3:20 p.m.,15,20,03/04/2008 3:20 p.m.,1,Alameda,2013-09-25,2013-09-28,8343,h0.162647823326521,0101000020E6100000F346F7BD978F5EC065A6B4FE96DD4240
8344,3628797,20080302,2008,3,9:55 a.m.,9,55,03/02/2008 9:55 a.m.,1,Alameda,2013-09-25,2013-09-28,8344,h0.158184039386441,0101000020E6100000FB905CA38A8F5EC06551D845D1E14240
8345,3629713,20080218,2008,2,2:25 p.m.,14,25,02/18/2008 2:25 p.m.,1,Contra Costa,2013-09-25,2013-09-28,8345,h0.518407756533316,0101000020E6100000E27DB0E7467C5EC08F9B2B9496024340
8346,3630272,20080210,2008,2,3:13 p.m.,15,13,02/10/2008 3:13 p.m.,1,Contra Costa,2013-09-25,2013-09-28,8346,h0.394749774564046,0101000020E6100000801255AE26805EC0B4C9E1934EE94240
8347,3630996,20080212,2008,2,10:30 a.m.,10,30,02/12/2008 10:30 a.m.,1,Santa Clara,2013-09-25,2013-09-28,8347,h0.833194367560008,0101000020E6100000DD7E541EB8715EC087E64BB90C9D4240
8348,3631039,20080222,2008,2,3:09 p.m.,15,9,02/22/2008 3:09 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8348,h0.645446706754563,0101000020E61000001219B1AA39785EC086C0DBCD9DB04240
8349,3632370,20080326,2008,3,2:53 p.m.,14,53,03/26/2008 2:53 p.m.,0,Alameda,2013-09-25,2013-09-28,8349,h0.631954734828707,0101000020E610000093C2610E27715EC0F8BCE2A947D74240
8350,3632484,20080210,2008,2,5:59 p.m.,17,59,02/10/2008 5:59 p.m.,0,Alameda,2013-09-25,2013-09-28,8350,h0.14606628840465,0101000020E6100000A251706795925EC07CE2EFCD25EF4240
8351,3632508,20080209,2008,2,3:51 p.m.,15,51,02/09/2008 3:51 p.m.,1,Alameda,2013-09-25,2013-09-28,8351,h0.163820337093945,0101000020E61000001403249A40905EC07668FDD247ED4240
